>>> Updated on: 2019-02-21T12:02:02Z <<<
tld,u-label,registry-operator,date-of-contract-signature,application-id,delegation-date
vanguard,,"The Vanguard Group, Inc.",2015-09-03,1-1698-41502,2016-08-28
vegas,,"Dot Vegas, Inc.",2014-01-16,1-846-66759,2014-03-31
ventures,,"Binky Moon, LLC",2013-08-27,1-1649-44756,2013-11-06
verisign,,"VeriSign, Inc.",2015-08-13,1-1145-77950,2015-11-25
versicherung,,"TLD-BOX Registrydienstleistungen GmbH",2014-03-20,1-891-92750,2014-05-22
vet,,"Dog Beach, LLC",2014-03-06,1-1642-14231,2014-05-31
viajes,,"Binky Moon, LLC",2013-10-17,1-1629-12298,2013-12-17
video,,"Dog Beach, LLC",2014-10-16,1-1480-90854,2014-12-25
vig,,"VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe",2015-05-14,1-918-87536,2016-04-06
viking,,"Viking River Cruises (Bermuda) Ltd.",2015-04-02,1-1691-8656,2016-02-22
villas,,"Binky Moon, LLC",2013-12-05,1-1537-30547,2014-02-11
vin,,"Binky Moon, LLC",2015-06-18,1-1538-23177,2015-08-05
vip,,"Minds + Machines Group Limited",2015-01-22,1-1037-88001,2015-11-25
virgin,,"Virgin Enterprises Limited",2014-09-25,1-1768-35626,2015-10-07
visa,,"Visa Worldwide Pte. Limited",2015-07-30,1-1338-34737,2016-07-28
vision,,"Binky Moon, LLC",2013-12-05,1-1533-53706,2014-02-11
vistaprint,,"Vistaprint Limited",2014-09-18,1-1033-53103,2015-06-22
viva,,"Saudi Telecom Company",2014-11-07,1-1933-773,2015-08-28
vivo,,"Telefonica Brasil S.A.",2015-07-31,1-1849-63904,2016-07-15
vlaanderen,,"DNS.be vzw",2014-02-06,1-1369-30849,2014-06-18
vodka,,"Minds + Machines Group Limited",2013-12-19,1-1037-7152,2014-03-31
volkswagen,,"Volkswagen Group of America Inc.",2015-05-14,1-1262-79766,2016-01-09
volvo,,"Volvo Holding Sverige Aktiebolag",2015-11-12,1-1797-56873,2016-10-24
vote,,"Monolith Registry LLC",2013-11-21,1-1013-44231,2014-03-02
voting,,"Valuetainment Corp.",2013-11-13,1-1280-72896,2014-01-29
voto,,"Monolith Registry LLC",2013-11-21,1-1013-52757,2014-03-02
voyage,,"Binky Moon, LLC",2013-08-27,1-1529-46197,2013-11-06
vuelos,,"Travel Reservations SRL",2015-03-05,1-1249-83471,2016-03-02
wales,,"Nominet UK",2014-05-08,1-1105-18383,2014-08-07
walmart,,"Wal-Mart Stores, Inc.",2015-07-31,1-1244-56727,2016-08-18
walter,,"Sandvik AB",2014-11-13,1-2076-35685,2015-05-27
wang,,"Zodiac Wang Limited",2013-10-24,1-857-40930,2014-01-03
wanggou,,"Amazon Registry Services, Inc.",2014-12-18,1-1318-32718,2015-12-15
warman,,"Weir Group IP Limited",2015-06-18,1-1822-29200,2016-05-03
watch,,"Binky Moon, LLC",2013-11-14,1-1528-66412,2014-01-23
watches,,"Richemont DNS Inc.",2014-12-22,1-1253-13044,2015-12-14
weather,,"International Business Machines Corporation",2015-01-08,1-1977-49078,2016-01-12
weatherchannel,,"International Business Machines Corporation",2015-03-12,1-2117-66735,2016-01-28
webcam,,"dot Webcam Limited",2014-01-23,1-1236-11213,2014-03-19
weber,,"Saint-Gobain Weber SA",2015-06-04,1-1812-10343,2015-12-22
website,,"DotWebsite Inc.",2014-04-03,1-1050-30871,2014-05-30
wed,,"Atgron, Inc.",2013-10-01,1-1276-92005,2014-01-23
wedding,,"Minds + Machines Group Limited",2014-04-24,1-1037-16321,2014-10-15
weibo,,"Sina Corporation",2015-03-05,1-950-50638,2016-04-06
weir,,"Weir Group IP Limited",2015-01-29,1-1822-6919,2015-04-17
whoswho,,"Who's Who Registry",2014-02-20,1-1829-71938,2014-07-18
wien,,"punkt.wien GmbH",2013-10-28,1-1030-79531,2014-01-03
wiki,,"Top Level Design, LLC",2013-11-07,1-1086-78534,2014-02-19
williamhill,,"William Hill Organization Limited",2014-03-13,1-1755-98806,2014-07-27
win,,"First Registry Limited",2014-11-20,1-1226-82695,2015-03-25
windows,,"Microsoft Corporation",2014-12-18,1-1129-52051,2015-06-10
wine,,"Binky Moon, LLC",2015-06-18,1-1515-14214,2015-08-05
winners,,"The TJX Companies, Inc.",2015-07-16,1-1764-23072,2016-07-15
wme,,"William Morris Endeavor Entertainment, LLC",2014-02-13,1-930-41059,2014-09-10
wolterskluwer,,"Wolters Kluwer N.V.",2015-08-06,1-1005-36512,2016-02-11
woodside,,"Woodside Petroleum Limited",2015-07-09,1-1948-75990,2016-06-23
work,,"Minds + Machines Group Limited",2013-12-19,1-1037-87207,2014-09-23
works,,"Binky Moon, LLC",2013-11-14,1-1518-50195,2014-01-23
world,,"Binky Moon, LLC",2014-06-12,1-1504-13424,2014-09-19
wow,,"Amazon Registry Services, Inc.",2015-10-08,1-1318-51358,2016-09-26
wtc,,"World Trade Centers Association, Inc.",2013-12-19,1-1275-26828,2014-04-29
wtf,,"Binky Moon, LLC",2014-03-06,1-1508-57100,2014-04-23
xbox,,"Microsoft Corporation",2014-12-18,1-1129-57994,2015-06-04
xerox,,"Xerox DNHC LLC",2014-10-24,1-1046-44533,2015-04-16
xfinity,,"Comcast IP Holdings I, LLC",2015-07-09,1-1170-40267,2016-07-07
xihuan,,"QIHOO 360 TECHNOLOGY CO. LTD.",2015-01-08,1-974-79364,2016-03-30
xin,,"Elegant Leader Limited",2014-12-11,1-1152-14481,2015-03-07
xn--11b4c3d,कॉम,"VeriSign Sarl",2015-01-15,1-1254-28833,2015-07-28
xn--1ck2e1b,セール,"Amazon Registry Services, Inc.",2015-02-26,1-1318-75179,2016-02-19
xn--1qqw23a,佛山,"Guangzhou YU Wei Information Technology Co., Ltd.",2014-01-09,1-1121-69393,2014-08-14
xn--30rr7y,慈善,"Excellent First Limited",2014-06-12,1-961-6109,2015-03-31
xn--3bst00m,集团,"Eagle Horizon Limited",2013-09-13,1-962-55795,2014-01-03
xn--3ds443g,在线,"TLD REGISTRY LIMITED",2013-09-08,1-1940-42600,2014-01-02
xn--3oq18vl8pn36a,大众汽车,"Volkswagen (China) Investment Co., Ltd.",2015-07-02,1-1824-64001,2016-08-16
xn--3pxu8k,点看,"VeriSign Sarl",2015-01-15,1-1254-85868,2015-07-28
xn--42c2d9a,คอม,"VeriSign Sarl",2015-01-15,1-1254-3015,2015-07-28
xn--45q11c,八卦,"Zodiac Gemini Ltd",2013-11-21,1-859-69634,2014-11-17
xn--4gbrim,موقع,"Suhub Electronic Establishment",2013-10-04,1-1013-15278,2014-05-28
xn--55qw42g,公益,"China Organizational Name Administration Center",2013-11-08,1-922-7037,2013-12-17
xn--55qx5d,公司,"China Internet Network Information Center (CNNIC)",2013-11-14,1-932-93337,2014-01-18
xn--5su34j936bgsg,香格里拉,"Shangri‐La International Hotel Management Limited",2015-09-03,1-940-19689,2016-07-02
xn--5tzm5g,网站,"Global Website TLD Asia Limited",2014-12-22,1-2101-67873,2016-04-17
xn--6frz82g,移动,"Afilias plc",2013-09-23,1-868-82489,2014-02-05
xn--6qq986b3xl,我爱你,"Tycoon Treasure Limited",2013-09-13,1-960-63893,2014-01-03
xn--80adxhks,москва,"Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)",2013-12-19,1-975-90576,2014-04-24
xn--80aqecdr1a,католик,"Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)",2015-10-21,1-1311-52357,2016-12-01
xn--80asehdb,онлайн,"CORE Association",2013-07-14,1-862-29948,2013-10-23
xn--80aswg,сайт,"CORE Association",2013-07-14,1-862-90073,2013-10-23
xn--8y0a063a,联通,"China United Network Communications Corporation Limited",2015-03-26,1-996-21855,2016-02-06
xn--9dbq2a,קום,"VeriSign Sarl",2015-01-15,1-1254-29622,2015-07-28
xn--9et52u,时尚,"RISE VICTORY LIMITED",2014-06-12,1-1120-95098,2015-03-27
xn--9krt00a,微博,"Sina Corporation",2015-03-12,1-950-28485,2016-04-06
xn--b4w605ferd,淡马锡,"Temasek Holdings (Private) Limited",2014-08-07,1-848-71299,2015-01-24
xn--bck1b9a5dre4c,ファッション,"Amazon Registry Services, Inc.",2015-02-26,1-1318-40887,2016-02-21
xn--c1avg,орг,"Public Interest Registry",2013-11-14,1-910-36696,2014-03-05
xn--c2br7g,नेट,"VeriSign Sarl",2015-01-15,1-1254-86085,2015-07-28
xn--cck2b3b,ストア,"Amazon Registry Services, Inc.",2015-02-26,1-1318-83013,2016-02-19
xn--cg4bki,삼성,"SAMSUNG SDS CO., LTD",2013-09-27,1-955-42062,2014-02-21
xn--czr694b,商标,"Dot Trademark TLD Holding Company Limited",2014-01-16,1-1157-41509,2014-05-22
xn--czrs0t,商店,"Binky Moon, LLC",2013-12-19,1-1490-59840,2014-12-06
xn--czru2d,商城,"Zodiac Aquarius Limited",2013-11-21,1-867-66064,2014-03-31
xn--d1acj3b,дети,"The Foundation for Network Initiatives “The Smart Internet”",2013-11-20,1-1193-2906,2014-02-26
xn--eckvdtc9d,ポイント,"Amazon Registry Services, Inc.",2014-12-18,1-1318-7184,2015-12-14
xn--efvy88h,新闻,"Guangzhou YU Wei Information Technology Co., Ltd.",2014-08-22,1-1309-40591,2015-08-24
xn--estv75g,工行,"Industrial and Commercial Bank of China Limited",2015-02-19,1-1011-2710,2015-05-07
xn--fct429k,家電,"Amazon Registry Services, Inc.",2015-04-09,1-1318-54339,2016-03-25
xn--fhbei,كوم,"VeriSign Sarl",2015-01-15,1-1254-25640,2015-07-28
xn--fiq228c5hs,中文网,"TLD REGISTRY LIMITED",2013-09-08,1-1939-78147,2014-01-03
xn--fiq64b,中信,"CITIC Group Corporation",2013-10-14,1-914-3594,2014-01-18
xn--fjq720a,娱乐,"Binky Moon, LLC",2014-05-22,1-1491-83816,2015-05-09
xn--flw351e,谷歌,"Charleston Road Registry Inc.",2014-07-31,1-1141-36998,2014-11-20
xn--fzys8d69uvgm,電訊盈科,"PCCW Enterprises Limited",2015-05-14,1-1309-63598,2016-05-11
xn--g2xx48c,购物,"Minds + Machines Group Limited",2015-01-30,1-994-1450,2016-01-16
xn--gckr3f0f,クラウド,"Amazon Registry Services, Inc.",2015-02-26,1-1318-69604,2016-02-19
xn--gk3at1e,通販,"Amazon Registry Services, Inc.",2015-10-08,1-1318-15593,2016-09-30
xn--hxt814e,网店,"Zodiac Taurus Limited",2014-05-15,1-858-36255,2014-12-02
xn--i1b6b1a6a2e,संगठन,"Public Interest Registry",2013-11-14,1-910-41904,2014-03-09
xn--imr513n,餐厅,"Dot Trademark TLD Holding Company Limited",2014-12-11,1-1103-5695,2015-05-30
xn--io0a7i,网络,"China Internet Network Information Center (CNNIC)",2013-11-14,1-932-13797,2014-01-18
xn--j1aef,ком,"VeriSign Sarl",2015-01-15,1-1254-23113,2015-07-28
xn--jlq61u9w7b,诺基亚,"Nokia Corporation",2015-01-08,1-957-40223,2015-12-18
xn--jvr189m,食品,"Amazon Registry Services, Inc.",2015-02-26,1-1318-83264,2016-02-22
xn--kcrx77d1x4a,飞利浦,"Koninklijke Philips N.V.",2014-11-07,1-1748-14964,2015-04-07
xn--kpu716f,手表,"Richemont DNS Inc.",2014-12-22,1-1253-73407,2015-12-15
xn--kput3i,手机,"Beijing RITT-Net Technology Development Co., Ltd",2014-02-13,1-1013-60869,2014-06-17
xn--mgba3a3ejt,ارامكو,"Aramco Services Company",2014-11-20,1-1961-53268,2015-10-15
xn--mgba7c0bbn0a,العليان,"Crescent Holding GmbH",2015-05-14,1-1017-64718,2016-05-03
xn--mgbaakc7dvf,اتصالات,"Emirates Telecommunications Corporation (trading as Etisalat)",2015-09-03,1-1745-25333,2017-06-10
xn--mgbab2bd,بازار,"CORE Association",2013-10-31,1-862-50853,2014-02-18
xn--mgbb9fbpob,موبايلي,"GreenTech Consultancy Company W.L.L.",2014-12-18,1-2115-92778,2015-12-23
xn--mgbca7dzdo,ابوظبي,"Abu Dhabi Systems and Information Centre",2015-07-30,1-1925-2822,2016-04-06
xn--mgbi4ecexp,كاثوليك,"Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)",2015-10-21,1-1311-1455,2016-12-01
xn--mgbt3dhd,همراه,"Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.",2014-09-04,1-2134-95773,2015-12-07
xn--mk1bu44c,닷컴,"VeriSign Sarl",2015-01-15,1-1254-16209,2015-07-28
xn--mxtq1m,政府,"Net-Chinese Co., Ltd.",2014-03-06,1-1658-94344,2015-03-03
xn--ngbc5azd,شبكة,"International Domain Registry Pty. Ltd.",2013-07-13,1-1926-49360,2013-10-23
xn--ngbe9e0a,بيتك,"Kuwait Finance House",2014-12-04,1-2100-57621,2015-12-15
xn--ngbrx,عرب,"League of Arab States",2015-11-12,1-1346-36518,2017-05-23
xn--nqv7f,机构,"Public Interest Registry",2013-11-14,1-910-16443,2014-03-09
xn--nqv7fs00ema,组织机构,"Public Interest Registry",2013-11-14,1-910-25137,2014-03-09
xn--nyqy26a,健康,"Stable Tone Limited",2014-11-07,1-1708-88054,2015-04-02
xn--otu796d,招聘,"Dot Trademark TLD Holding Company Limited",2017-08-06,1-1158-95080,2018-01-24
xn--p1acf,рус,"Rusnames Limited",2013-12-12,1-1957-68557,2014-09-27
xn--pbt977c,珠宝,"Richemont DNS Inc.",2014-12-22,1-1253-4621,2015-12-15
xn--pssy2u,大拿,"VeriSign Sarl",2015-01-15,1-1254-52569,2015-07-28
xn--q9jyb4c,みんな,"Charleston Road Registry Inc.",2013-09-17,1-1678-4149,2013-11-23
xn--qcka1pmc,グーグル,"Charleston Road Registry Inc.",2014-07-31,1-1099-81471,2014-11-20
xn--rhqv96g,世界,"Stable Tone Limited",2013-09-11,1-1708-19635,2014-03-12
xn--rovu88b,書籍,"Amazon Registry Services, Inc.",2015-02-26,1-1318-52278,2016-02-19
xn--ses554g,网址,"KNET Co., Ltd.",2014-01-16,1-1159-3507,2014-04-10
xn--t60b56a,닷넷,"VeriSign Sarl",2015-01-15,1-1254-76331,2015-07-28
xn--tckwe,コム,"VeriSign Sarl",2015-01-15,1-1254-37311,2015-07-29
xn--tiq49xqyj,天主教,"Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)",2015-10-21,1-1311-58570,2016-12-01
xn--unup4y,游戏,"Binky Moon, LLC",2013-07-14,1-1485-72605,2013-10-23
xn--vermgensberater-ctb,vermögensberater,"Deutsche Vermögensberatung Aktiengesellschaft DVAG",2014-06-23,1-904-60726,2014-09-27
xn--vermgensberatung-pwb,vermögensberatung,"Deutsche Vermögensberatung Aktiengesellschaft DVAG",2014-06-23,1-904-3145,2014-09-27
xn--vhquv,企业,"Binky Moon, LLC",2013-08-27,1-1495-41000,2014-08-22
xn--vuq861b,信息,"Beijing Tele-info Network Technology Co., Ltd.",2014-10-16,1-995-44061,2015-03-18
xn--w4r85el8fhu5dnra,嘉里大酒店,"Kerry Trading Co. Limited",2015-04-30,1-928-73202,2016-03-05
xn--w4rs40l,嘉里,"Kerry Trading Co. Limited",2015-07-30,1-928-57387,2016-05-16
xn--xhq521b,广东,"Guangzhou YU Wei Information Technology Co., Ltd.",2013-11-14,1-1121-17301,2014-08-14
xn--zfr164b,政务,"China Organizational Name Administration Center",2013-11-08,1-922-56316,2013-12-17
xyz,,"XYZ.COM LLC",2013-12-05,1-1982-70171,2014-02-19
yachts,,"DERYachts, LLC",2014-01-09,1-909-89547,2014-05-22
yahoo,,"Yahoo! Domain Services Inc.",2015-04-02,1-1168-48888,2016-02-13
yamaxun,,"Amazon Registry Services, Inc.",2014-12-18,1-1318-28317,2015-10-07
yandex,,"YANDEX, LLC",2014-04-10,1-977-13382,2014-07-18
yodobashi,,"YODOBASHI CAMERA CO.,LTD.",2014-11-20,1-1809-93761,2015-02-19
yoga,,"Minds + Machines Group Limited",2014-05-29,1-1037-89079,2014-10-15
yokohama,,"GMO Registry, Inc.",2013-12-12,1-1194-80642,2014-04-03
you,,"Amazon Registry Services, Inc.",2015-04-09,1-1318-84751,2016-03-25
youtube,,"Charleston Road Registry Inc.",2014-05-01,1-1417-80062,2014-08-29
yun,,"QIHOO 360 TECHNOLOGY CO. LTD.",2015-01-08,1-974-89210,2016-03-30
zappos,,"Amazon Registry Services, Inc.",2015-06-25,1-1315-80866,2016-06-02
zara,,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)",2014-11-07,1-985-40230,2015-10-27
zero,,"Amazon Registry Services, Inc.",2014-12-18,1-1318-14004,2015-12-05
zip,,"Charleston Road Registry Inc.",2014-05-08,1-1678-17174,2014-09-15
zone,,"Binky Moon, LLC",2013-11-14,1-1503-89379,2014-01-14
zuerich,,"Kanton Zürich (Canton of Zurich)",2014-11-07,1-968-87792,2014-12-25
